PEDIDO_ID,FECHA_CITA,FECHA_INGRESO,FECHA_ESTADO,CONCEPTO_ID,FUENTE,STATUS,MOTIVO_MALO,INCIDENTE,USUARIO,FECHAMALO
1-3HKODN47I,9999-00-00,"2018-05-04 16:25:31","2018-05-04 11:49:32",COBERTURA,SIEBEL,MALO,"SE ENVIA CR",NO,MSERNAVE,"2018-05-06 07:09:32"
129183870,0000-00-00,"2018-03-28 13:40:38","2018-04-13 14:48:23",PETEC,FENIX_NAL,MALO,"PENDIENTE B2B"," ",DCHALARC,"2018-05-03 15:36:30"
129523732,0000-00-00,"2018-04-25 06:50:14","2018-04-25 06:53:33",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-04-25 07:42:37"
129523818,0000-00-00,"2018-04-25 07:48:02","2018-04-25 07:51:33",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-02 09:47:20"
129528296,0000-00-00,"2018-04-25 15:16:55","2018-04-27 10:10:33",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-04-27 10:38:51"
129533424,0000-00-00,"2018-04-26 16:22:39","2018-04-26 16:30:46",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-04-27 06:29:09"
129593876,0000-00-00,"2018-05-02 15:39:33","2018-05-03 16:07:32",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",DCHALARC,"2018-05-03 17:07:34"
129598946,0000-00-00,"2018-05-03 08:15:57","2018-05-03 08:19:47",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-03 08:59:02"
129601991,0000-00-00,"2018-05-03 13:25:39","2018-05-04 14:57:54",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",DCHALARC,"2018-05-04 15:54:17"
129610157,9999-00-00,"2018-05-04 18:21:00","2018-05-04 13:28:26",PUMED,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",WTOROVEL,"2018-05-05 21:47:54"
129614033,0000-00-00,"2018-05-04 18:57:07","2018-05-05 09:37:59",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-05 10:15:15"
129618776,9999-00-00,"2018-05-05 17:08:52","2018-05-05 13:13:27",PETEC,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",JQUICEVA,"2018-05-05 14:44:20"
129619049,0000-00-00,"2018-05-05 19:12:47","2018-05-05 14:23:26",PETEC,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",AGARCESY,"2018-05-05 14:29:03"
129619150,9999-00-00,"2018-05-05 19:15:41","2018-05-05 14:48:26",PETEC,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",CGARMUNO,"2018-05-05 20:11:13"
