PEDIDO_ID,FECHA_CITA,FECHA_INGRESO,FECHA_ESTADO,CONCEPTO_ID,FUENTE,STATUS,MOTIVO_MALO,INCIDENTE,USUARIO,FECHAMALO
129523732,0000-00-00,"2018-04-25 06:50:14","2018-04-25 06:53:33",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-04-25 07:42:37"
129523818,0000-00-00,"2018-04-25 07:48:02","2018-04-25 07:51:33",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-02 09:47:20"
129528296,0000-00-00,"2018-04-25 15:16:55","2018-04-27 10:10:33",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-04-27 10:38:51"
129533424,0000-00-00,"2018-04-26 16:22:39","2018-04-26 16:30:46",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-04-27 06:29:09"
129593876,0000-00-00,"2018-05-02 15:39:33","2018-05-03 16:07:32",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",DCHALARC,"2018-05-03 17:07:34"
129598946,0000-00-00,"2018-05-03 08:15:57","2018-05-03 08:19:47",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-03 08:59:02"
129601991,0000-00-00,"2018-05-03 13:25:39","2018-05-04 14:57:54",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",DCHALARC,"2018-05-04 15:54:17"
129610736,0000-00-00,"2018-05-04 15:05:16","2018-05-07 17:36:20",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-08 07:55:05"
129613325,0000-00-00,"2018-05-04 16:24:48","2018-05-07 09:10:12",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",RZAPATV,"2018-05-07 10:14:56"
129636306,9999-00-00,"2018-05-07 11:18:57","2018-05-07 11:24:10",PETEC,FENIX_NAL,MALO,"PEDIDO NO SE DEJA GESTIONAR"," ",OCAJESUD,"2018-05-07 13:36:07"
129637514,9999-00-00,"2018-05-07 18:37:59","2018-05-07 13:48:26",PETEC,FENIX_NAL,MALO,"NO CARGO COMPONENTES"," ",AGARCESY,"2018-05-07 18:52:27"
129637755,9999-00-00,"2018-05-04 22:31:20","2018-05-07 14:13:27",PETEC,FENIX_NAL,MALO,"PENDIENTE ACCESO"," ",AGARCESY,"2018-05-07 20:03:13"
