PEDIDO,GESTIONO,ESTADO,"FECHA GESTION",MOTIVO,IGNORO,"FECHA IGNORO"
129183870,DCHALARC,MALO,"2018-04-13 15:28:29","PENDIENTE ACCESO",DEMO,"2018-04-26 09:43:40"
129183870,DCHALARC,MALO,"2018-05-03 15:36:30","PENDIENTE B2B",DEMO,"2018-04-26 09:43:40"
129636047,RZAPATV,MALO,"2018-05-07 11:31:15","PENDIENTE ACCESO",DEMO,"2018-05-07 11:47:16"
129610736,RZAPATV,MALO,"2018-05-08 06:21:33","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:06:49"
129610736,DCHALARC,MALO,"2018-05-08 07:31:54","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:06:49"
129610736,RZAPATV,MALO,"2018-05-08 07:55:02","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:06:49"
129610736,RZAPATV,MALO,"2018-05-08 07:55:05","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:06:49"
129637514,AGARCESY,MALO,"2018-05-07 18:52:27","NO CARGO COMPONENTES",EYEPESA,"2018-05-08 10:11:27"
129613325,RZAPATV,MALO,"2018-05-07 10:14:56","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:11:39"
129601991,DCHALARC,MALO,"2018-05-04 15:54:17","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:11:59"
129593876,DCHALARC,MALO,"2018-05-03 17:07:34","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:12:23"
129598946,RZAPATV,MALO,"2018-05-03 08:59:02","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:12:31"
129523818,RZAPATV,MALO,"2018-04-25 10:20:17","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:12:39"
129523818,RZAPATV,MALO,"2018-05-02 09:47:20","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:12:39"
129528296,RZAPATV,MALO,"2018-04-27 10:38:51","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:13:34"
129533424,RZAPATV,MALO,"2018-04-27 06:29:09","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:13:41"
129523732,RZAPATV,MALO,"2018-04-25 07:42:37","PENDIENTE ACCESO",EYEPESA,"2018-05-08 10:13:54"
